sentence,prediction,ground_true,预测,正确,fold_0_top2,fold_1_top2,fold_2_top2,fold_3_top2,fold_4_top2,fold_5_top2,fold_6_top2,fold_7_top2,fold_8_top2,fold_9_top2
开卡 好好贵 的,24,3,telephone,chat,"('telephone', 'app')","('telephone', 'app')","('telephone', 'video')","('app', 'telephone')","('telephone', 'app')","('app', 'telephone')","('telephone', 'contacts')","('telephone', 'app')","('app', 'telephone')","('app', 'telephone')"
只有 一点点 吗,3,3,chat,chat,"('chat', 'map')","('chat', 'datetime')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'datetime')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')"
哈工大 的 刘挺 教授 是 谁,3,3,chat,chat,"('chat', 'map')","('chat', 'contacts')","('chat', 'map')","('chat', 'translation')","('chat', 'map')","('chat', 'website')","('chat', 'map')","('chat', 'translation')","('chat', 'map')","('chat', 'map')"
合肥 今天 有 什么 新闻 ， 放 给 我 听听,17,17,news,news,"('news', 'epg')","('news', 'epg')","('news', 'epg')","('news', 'epg')","('news', 'epg')","('news', 'epg')","('news', 'epg')","('news', 'epg')","('news', 'epg')","('news', 'epg')"
打开 uc2 哦,30,0,website,app,"('website', 'app')","('website', 'app')","('website', 'app')","('website', 'app')","('website', 'app')","('app', 'website')","('website', 'app')","('website', 'app')","('website', 'app')","('website', 'app')"
你 会 不断 的 说 好 吗,3,3,chat,chat,"('chat', 'weather')","('chat', 'datetime')","('chat', 'music')","('chat', 'map')","('chat', 'map')","('chat', 'music')","('chat', 'weather')","('chat', 'music')","('chat', 'map')","('chat', 'music')"
打开 邮件 ， 看看 有 未 读 的 吗,3,8,chat,email,"('email', 'chat')","('chat', 'poetry')","('email', 'chat')","('chat', 'poetry')","('chat', 'email')","('chat', 'email')","('chat', 'novel')","('chat', 'app')","('chat', 'app')","('chat', 'email')"
秦兵 教授 是 男 的,3,3,chat,chat,"('chat', 'poetry')","('chat', 'epg')","('chat', 'video')","('chat', 'health')","('chat', 'health')","('chat', 'novel')","('chat', 'poetry')","('chat', 'health')","('chat', 'video')","('chat', 'epg')"
事理 图谱 是 你们 做 的 吗,3,3,chat,chat,"('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')"
婚礼 上 婆婆 怎么 讲话 好,3,3,chat,chat,"('chat', 'translation')","('chat', 'video')","('chat', 'website')","('chat', 'website')","('chat', 'translation')","('chat', 'epg')","('chat', 'epg')","('chat', 'epg')","('chat', 'translation')","('chat', 'video')"
我 邮箱 里 有 什么 未 读 邮件 ， 我 要 看看,8,8,email,email,"('email', 'chat')","('email', 'poetry')","('email', 'contacts')","('email', 'chat')","('email', 'chat')","('email', 'news')","('chat', 'email')","('email', 'app')","('email', 'contacts')","('email', 'chat')"
什么 事儿 啊 你 说,3,3,chat,chat,"('chat', 'translation')","('chat', 'epg')","('chat', 'translation')","('chat', 'riddle')","('chat', 'cookbook')","('chat', 'translation')","('chat', 'weather')","('chat', 'translation')","('chat', 'epg')","('chat', 'weather')"
我 问 你 问题 不许 你 问 我 撤回 傲慢,3,3,chat,chat,"('chat', 'translation')","('chat', 'video')","('chat', 'flight')","('chat', 'riddle')","('chat', 'flight')","('chat', 'telephone')","('chat', 'novel')","('chat', 'translation')","('chat', 'epg')","('chat', 'news')"
联想 的 董事长,23,3,stock,chat,"('stock', 'website')","('app', 'stock')","('stock', 'website')","('stock', 'app')","('stock', 'app')","('stock', 'app')","('stock', 'website')","('stock', 'app')","('stock', 'app')","('stock', 'app')"
随便 来 几 个 谜语 吧 ， 要 简单 容易 猜 的,21,21,riddle,riddle,"('riddle', 'schedule')","('riddle', 'lottery')","('riddle', 'music')","('riddle', 'match')","('riddle', 'chat')","('riddle', 'music')","('riddle', 'cookbook')","('riddle', 'epg')","('riddle', 'cookbook')","('riddle', 'radio')"
帮 我 查 下科 大讯飞 这 支 股票 ， 它 的 换手率 是 多少,23,23,stock,stock,"('stock', 'chat')","('stock', 'flight')","('stock', 'chat')","('stock', 'news')","('stock', 'translation')","('stock', 'map')","('stock', 'chat')","('stock', 'chat')","('stock', 'calc')","('stock', 'lottery')"
双方 还 达成,3,3,chat,chat,"('chat', 'match')","('chat', 'app')","('chat', 'website')","('chat', 'app')","('chat', 'video')","('chat', 'app')","('email', 'chat')","('match', 'chat')","('app', 'website')","('chat', 'app')"
根号 3 的 倒数,2,2,calc,calc,"('calc', 'datetime')","('calc', 'datetime')","('calc', 'schedule')","('calc', 'datetime')","('calc', 'datetime')","('calc', 'train')","('calc', 'schedule')","('calc', 'video')","('calc', 'lottery')","('calc', 'website')"
4 乘 6 然后 再 乘 7 再 除 以 2,2,2,calc,calc,"('calc', 'schedule')","('calc', 'schedule')","('calc', 'schedule')","('calc', 'schedule')","('calc', 'schedule')","('calc', 'schedule')","('calc', 'schedule')","('calc', 'schedule')","('calc', 'lottery')","('calc', 'flight')"
我 要 跟 你 结婚,3,3,chat,chat,"('chat', 'music')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'calc')","('chat', 'music')","('chat', 'video')","('chat', 'video')","('chat', 'music')","('chat', 'music')"
我 睡 不 着 了,3,3,chat,chat,"('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'map')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')"
他 说 他 是 不 是 逗 我 玩 的,3,3,chat,chat,"('chat', 'translation')","('chat', 'video')","('chat', 'website')","('chat', 'riddle')","('chat', 'map')","('chat', 'telephone')","('chat', 'novel')","('chat', 'video')","('chat', 'music')","('chat', 'music')"
小 鹿 姐姐 主持 的 动画 梦工厂 ， 最近 放 啥 动画片 呢,9,9,epg,epg,"('epg', 'video')","('epg', 'video')","('video', 'epg')","('epg', 'video')","('video', 'epg')","('epg', 'video')","('epg', 'video')","('video', 'epg')","('epg', 'video')","('video', 'cinemas')"
你 这 定位 也 太 不准 了,3,3,chat,chat,"('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'music')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')"
患 上 癌症 能 怎么办 ， 可以 保守 治疗 吗,11,11,health,health,"('health', 'contacts')","('health', 'website')","('health', 'chat')","('health', 'chat')","('health', 'schedule')","('health', 'message')","('health', 'map')","('health', 'video')","('health', 'radio')","('health', 'epg')"
能 不 能 让 用户 参与 开发,3,3,chat,chat,"('chat', 'app')","('chat', 'stock')","('chat', 'radio')","('chat', 'website')","('chat', 'app')","('chat', 'app')","('chat', 'app')","('chat', 'app')","('chat', 'website')","('chat', 'app')"
你 知道 五谷磨房 吗,3,3,chat,chat,"('chat', 'map')","('chat', 'epg')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'map')","('chat', 'epg')","('chat', 'weather')","('chat', 'weather')","('chat', 'map')","('chat', 'weather')"
我 想 看 恐怖片 ， 给 我 推荐点 超级 吓人 的 那种 恐怖片,28,28,video,video,"('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'chat')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')"
你 很 有 正 能量,3,3,chat,chat,"('chat', 'video')","('chat', 'video')","('chat', 'music')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'music')","('chat', 'music')","('chat', 'music')"
你 不 说 人 话,3,3,chat,chat,"('chat', 'translation')","('chat', 'datetime')","('chat', 'music')","('chat', 'riddle')","('chat', 'translation')","('chat', 'music')","('chat', 'novel')","('chat', 'translation')","('chat', 'translation')","('chat', 'translation')"
那 给 我 介绍 一个 呗,3,3,chat,chat,"('chat', 'music')","('chat', 'video')","('chat', 'telephone')","('chat', 'riddle')","('chat', 'contacts')","('chat', 'telephone')","('chat', 'riddle')","('chat', 'riddle')","('chat', 'telephone')","('chat', 'video')"
你 很 厉害 你 咋 知道 我 跟 开封 有 联系,3,3,chat,chat,"('chat', 'health')","('chat', 'video')","('chat', 'health')","('chat', 'health')","('chat', 'schedule')","('chat', 'telephone')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'lottery')"
北京 的 房价 太 高 怎么办,3,3,chat,chat,"('chat', 'stock')","('chat', 'stock')","('chat', 'health')","('chat', 'stock')","('chat', 'map')","('chat', 'stock')","('chat', 'stock')","('chat', 'stock')","('chat', 'health')","('chat', 'stock')"
人 之 初,3,19,chat,poetry,"('chat', 'poetry')","('chat', 'poetry')","('poetry', 'chat')","('chat', 'poetry')","('chat', 'website')","('poetry', 'chat')","('chat', 'poetry')","('chat', 'poetry')","('poetry', 'chat')","('poetry', 'chat')"
以后 叫 你 蠢蠢,3,3,chat,chat,"('chat', 'schedule')","('chat', 'schedule')","('chat', 'schedule')","('chat', 'schedule')","('chat', 'schedule')","('chat', 'schedule')","('chat', 'schedule')","('chat', 'schedule')","('chat', 'schedule')","('chat', 'schedule')"
性 行为 对 人 的 身体 有 什么 好处 呢,3,11,chat,health,"('chat', 'health')","('chat', 'health')","('chat', 'health')","('chat', 'health')","('chat', 'health')","('chat', 'health')","('chat', 'weather')","('chat', 'health')","('chat', 'health')","('chat', 'news')"
你 懂 的 好多 丫,3,3,chat,chat,"('chat', 'video')","('chat', 'video')","('chat', 'music')","('chat', 'video')","('chat', 'calc')","('chat', 'music')","('chat', 'weather')","('chat', 'weather')","('chat', 'app')","('chat', 'app')"
搜索 一下 ， 上 一 周 安徽 卫视 播放 的 电视剧 有 哪些,9,9,epg,epg,"('epg', 'match')","('epg', 'video')","('epg', 'cinemas')","('epg', 'cinemas')","('epg', 'cinemas')","('epg', 'datetime')","('epg', 'video')","('epg', 'cinemas')","('epg', 'tvchannel')","('epg', 'cinemas')"
你 会 韩语 吗 ？ 可以 用 韩语 帮 我 翻译 我 爱 你 这 句 话 吗,26,26,translation,translation,"('translation', 'bus')","('translation', 'calc')","('chat', 'translation')","('translation', 'chat')","('translation', 'chat')","('chat', 'translation')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('chat', 'translation')"
太 冷 了,3,3,chat,chat,"('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')"
我 今天 不 高兴,3,3,chat,chat,"('chat', 'weather')","('chat', 'epg')","('chat', 'email')","('chat', 'website')","('chat', 'datetime')","('chat', 'epg')","('chat', 'weather')","('chat', 'weather')","('chat', 'website')","('chat', 'weather')"
看 下 日历 ， 劳动节 还有 几 个 星期 就 到 了,7,7,datetime,datetime,"('datetime', 'match')","('datetime', 'riddle')","('datetime', 'epg')","('datetime', 'schedule')","('datetime', 'chat')","('datetime', 'schedule')","('app', 'datetime')","('datetime', 'schedule')","('datetime', 'chat')","('datetime', 'tvchannel')"
到 上海 坐 汽车 怎么 走 啊,13,1,map,bus,"('bus', 'map')","('map', 'bus')","('map', 'bus')","('bus', 'map')","('map', 'bus')","('map', 'bus')","('map', 'bus')","('map', 'bus')","('map', 'bus')","('bus', 'map')"
不 想 玩 游戏 ， 把 王者 荣耀 卸 载 掉 吧,0,0,app,app,"('website', 'app')","('app', 'chat')","('app', 'match')","('music', 'app')","('app', 'novel')","('music', 'chat')","('app', 'music')","('novel', 'app')","('app', 'website')","('chat', 'app')"
事情 真的 很多,3,3,chat,chat,"('chat', 'cookbook')","('chat', 'datetime')","('chat', 'music')","('chat', 'datetime')","('chat', 'cookbook')","('chat', 'music')","('chat', 'weather')","('chat', 'music')","('chat', 'music')","('chat', 'music')"
你 会 说 葡萄牙语 吗 ？ 帮 我 把 今天 好 热 翻译 成 葡萄牙语,26,26,translation,translation,"('translation', 'poetry')","('translation', 'novel')","('translation', 'chat')","('translation', 'cookbook')","('translation', 'poetry')","('translation', 'email')","('translation', 'chat')","('translation', 'poetry')","('translation', 'poetry')","('translation', 'weather')"
你 喜欢 些 什么 东西,3,3,chat,chat,"('chat', 'health')","('chat', 'datetime')","('chat', 'music')","('chat', 'translation')","('chat', 'map')","('chat', 'datetime')","('chat', 'novel')","('chat', 'weather')","('chat', 'music')","('chat', 'datetime')"
三 个 木 是 什么 字,3,3,chat,chat,"('chat', 'translation')","('chat', 'riddle')","('chat', 'datetime')","('chat', 'riddle')","('chat', 'riddle')","('chat', 'datetime')","('chat', 'riddle')","('chat', 'riddle')","('chat', 'translation')","('chat', 'datetime')"
介绍 一下 你 吧,3,3,chat,chat,"('chat', 'video')","('chat', 'video')","('chat', 'cookbook')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'video')"
你 看 一 下 手表 ， 看看 还有 多少 分 就 到 中午 12点 了,9,7,epg,datetime,"('train', 'cookbook')","('epg', 'map')","('epg', 'train')","('lottery', 'datetime')","('datetime', 'map')","('datetime', 'chat')","('chat', 'novel')","('epg', 'stock')","('epg', 'translation')","('message', 'tvchannel')"
没 人 说 我 傻,3,3,chat,chat,"('chat', 'translation')","('chat', 'video')","('chat', 'music')","('chat', 'riddle')","('chat', 'map')","('chat', 'music')","('chat', 'datetime')","('chat', 'translation')","('chat', 'translation')","('chat', 'translation')"
踢 足球 呢,14,3,match,chat,"('match', 'tvchannel')","('match', 'chat')","('match', 'chat')","('match', 'chat')","('match', 'chat')","('match', 'video')","('match', 'chat')","('match', 'chat')","('match', 'chat')","('match', 'chat')"
我 富 得 流油,3,3,chat,chat,"('chat', 'tvchannel')","('chat', 'video')","('chat', 'tvchannel')","('chat', 'video')","('chat', 'cookbook')","('chat', 'tvchannel')","('chat', 'tvchannel')","('chat', 'cookbook')","('chat', 'tvchannel')","('chat', 'video')"
我 想 知道 端午节 是 什么 时候 ， 帮 我 看 下 日历,9,7,epg,datetime,"('epg', 'poetry')","('epg', 'video')","('epg', 'datetime')","('epg', 'schedule')","('chat', 'epg')","('epg', 'datetime')","('epg', 'video')","('datetime', 'epg')","('epg', 'news')","('video', 'epg')"
太 有才 了,3,3,chat,chat,"('chat', 'cookbook')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'telephone')","('chat', 'map')","('chat', 'video')","('chat', 'video')","('chat', 'video')"
是的 朝 起 晚 落 不 休止,9,3,epg,chat,"('poetry', 'epg')","('poetry', 'epg')","('epg', 'tvchannel')","('epg', 'poetry')","('epg', 'map')","('epg', 'schedule')","('epg', 'poetry')","('epg', 'poetry')","('epg', 'poetry')","('poetry', 'epg')"
王后 是 谁,3,3,chat,chat,"('chat', 'video')","('chat', 'datetime')","('chat', 'map')","('chat', 'epg')","('chat', 'map')","('chat', 'epg')","('chat', 'novel')","('chat', 'video')","('chat', 'map')","('chat', 'datetime')"
王者 荣耀 有 什么 装备,3,3,chat,chat,"('chat', 'website')","('chat', 'website')","('chat', 'match')","('chat', 'app')","('chat', 'novel')","('chat', 'match')","('chat', 'novel')","('chat', 'website')","('chat', 'app')","('chat', 'app')"
请 喵喵 叫 给 我 听,24,3,telephone,chat,"('music', 'telephone')","('telephone', 'video')","('telephone', 'music')","('telephone', 'message')","('telephone', 'message')","('telephone', 'music')","('telephone', 'message')","('telephone', 'video')","('music', 'telephone')","('telephone', 'music')"
刚才 没有 接到 李建 的 电话 ， 我 要 回 拨 个 电话 给 他,5,24,contacts,telephone,"('contacts', 'telephone')","('message', 'telephone')","('message', 'telephone')","('telephone', 'message')","('contacts', 'telephone')","('contacts', 'telephone')","('telephone', 'contacts')","('message', 'contacts')","('telephone', 'contacts')","('contacts', 'epg')"
去 广州 的话 ， 怎么 坐 汽车 过去,1,1,bus,bus,"('bus', 'website')","('bus', 'chat')","('bus', 'stock')","('bus', 'riddle')","('bus', 'map')","('bus', 'chat')","('bus', 'chat')","('bus', 'chat')","('bus', 'train')","('bus', 'chat')"
我 想 去 杭州 旅游,13,3,map,chat,"('map', 'tvchannel')","('map', 'tvchannel')","('tvchannel', 'map')","('map', 'tvchannel')","('map', 'tvchannel')","('map', 'tvchannel')","('map', 'tvchannel')","('map', 'tvchannel')","('map', 'tvchannel')","('map', 'tvchannel')"
你 老 了 吗,3,3,chat,chat,"('chat', 'health')","('chat', 'datetime')","('chat', 'map')","('chat', 'cookbook')","('chat', 'map')","('chat', 'datetime')","('chat', 'novel')","('chat', 'weather')","('chat', 'map')","('chat', 'music')"
听 过 了,16,3,music,chat,"('music', 'chat')","('music', 'chat')","('music', 'chat')","('music', 'chat')","('music', 'chat')","('music', 'chat')","('music', 'chat')","('music', 'chat')","('music', 'chat')","('music', 'chat')"
不 是 说 你,3,3,chat,chat,"('chat', 'translation')","('chat', 'music')","('chat', 'music')","('chat', 'riddle')","('chat', 'map')","('chat', 'music')","('chat', 'weather')","('chat', 'translation')","('chat', 'music')","('chat', 'music')"
我 想 减肥 你 还 让 我 吃,3,3,chat,chat,"('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')"
有 没 有 张三 的 号码 ， 我 找 他 有事,5,5,contacts,contacts,"('contacts', 'music')","('contacts', 'chat')","('contacts', 'music')","('contacts', 'chat')","('contacts', 'chat')","('contacts', 'chat')","('contacts', 'chat')","('contacts', 'chat')","('chat', 'music')","('contacts', 'chat')"
你 算 一下 立方 根 ， 8 的 立方根,2,2,calc,calc,"('calc', 'chat')","('calc', 'chat')","('calc', 'cookbook')","('calc', 'chat')","('calc', 'chat')","('calc', 'chat')","('calc', 'chat')","('calc', 'chat')","('calc', 'cookbook')","('calc', 'flight')"
王松爱 杨扬 全世界 都 知道,24,3,telephone,chat,"('telephone', 'map')","('video', 'contacts')","('telephone', 'contacts')","('telephone', 'epg')","('chat', 'contacts')","('telephone', 'contacts')","('chat', 'map')","('contacts', 'tvchannel')","('telephone', 'chat')","('contacts', 'telephone')"
我 要 听 体育 新闻 ， 是 关于 欧洲杯 的,17,17,news,news,"('news', 'match')","('news', 'match')","('news', 'music')","('news', 'match')","('news', 'match')","('news', 'novel')","('news', 'match')","('news', 'match')","('news', 'match')","('news', 'video')"
我 要 看 彭 于晏 的 电影 ， 帮 我 买 两 张 湄公河 行动 电影票 吧,28,4,video,cinemas,"('cinemas', 'video')","('video', 'cinemas')","('cinemas', 'video')","('video', 'cinemas')","('video', 'cinemas')","('lottery', 'video')","('video', 'cinemas')","('cinemas', 'video')","('cinemas', 'video')","('video', 'cinemas')"
偷笑 偷笑 偷笑 偷笑 偷笑 偷笑 偷笑 偷笑 偷笑 偷笑,3,3,chat,chat,"('chat', 'video')","('chat', 'news')","('chat', 'music')","('video', 'chat')","('chat', 'flight')","('chat', 'video')","('chat', 'music')","('chat', 'music')","('chat', 'riddle')","('chat', 'lottery')"
我 的 锅 被 搜 走 了,13,3,map,chat,"('map', 'cookbook')","('map', 'cookbook')","('map', 'chat')","('cookbook', 'map')","('map', 'chat')","('map', 'chat')","('map', 'cookbook')","('map', 'cookbook')","('chat', 'map')","('cookbook', 'map')"
可以 帮 我 把 没有 回复 的 邮件 回复 下 吗,8,8,email,email,"('email', 'chat')","('email', 'chat')","('email', 'contacts')","('email', 'cookbook')","('email', 'chat')","('email', 'news')","('chat', 'email')","('email', 'train')","('email', 'contacts')","('email', 'contacts')"
万达 影城 这 几 天 上映 了 什么 电影 ， 有 科幻片 的 吗,4,4,cinemas,cinemas,"('cinemas', 'video')","('cinemas', 'video')","('cinemas', 'video')","('cinemas', 'video')","('cinemas', 'video')","('cinemas', 'chat')","('cinemas', 'video')","('cinemas', 'video')","('cinemas', 'video')","('cinemas', 'video')"
你 知道 苏州 有 什么 好吃 的 吗,3,6,chat,cookbook,"('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'map')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'epg')","('chat', 'weather')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'map')"
我 想 听 财经 类 的 广播 ， 帮 我 调 一下,20,20,radio,radio,"('radio', 'tvchannel')","('radio', 'music')","('radio', 'schedule')","('radio', 'tvchannel')","('radio', 'music')","('radio', 'music')","('radio', 'music')","('radio', 'music')","('radio', 'tvchannel')","('radio', 'music')"
我 要 出去 旅游 ， 帮 我 进入 携程 旅行 官网,30,30,website,website,"('website', 'tvchannel')","('website', 'flight')","('website', 'app')","('website', 'app')","('website', 'flight')","('website', 'app')","('website', 'map')","('website', 'flight')","('website', 'email')","('website', 'tvchannel')"
你 会 把 中文 翻译 成 韩语 吗 ？ 喜欢 你 用 韩语 怎么 说,26,26,translation,translation,"('translation', 'bus')","('translation', 'app')","('translation', 'chat')","('translation', 'app')","('translation', 'match')","('translation', 'chat')","('translation', 'chat')","('translation', 'calc')","('translation', 'app')","('translation', 'weather')"
2点 半夜 鸡 叫 什么 了 不少 钱包,3,3,chat,chat,"('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'schedule')","('chat', 'map')","('chat', 'schedule')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'schedule')","('chat', 'schedule')"
帮 我 打开 无线电台 广播 ， 打开 调频 96.3,20,20,radio,radio,"('radio', 'app')","('radio', 'app')","('radio', 'app')","('radio', 'website')","('radio', 'app')","('radio', 'app')","('radio', 'app')","('radio', 'app')","('radio', 'app')","('radio', 'app')"
帮 我 写 封 邮件 给 小红 ， 约 她 明天 一起 逛街,8,8,email,email,"('email', 'app')","('email', 'poetry')","('email', 'message')","('email', 'message')","('email', 'message')","('email', 'message')","('email', 'chat')","('email', 'message')","('email', 'message')","('email', 'message')"
想 坐 汽车 去 上海 ， 你 帮 我 买 两 张 汽车票 吧,3,1,chat,bus,"('cinemas', 'train')","('chat', 'bus')","('train', 'bus')","('chat', 'flight')","('flight', 'chat')","('chat', 'train')","('chat', 'bus')","('train', 'bus')","('train', 'bus')","('chat', 'train')"
你 出 个 谜语 ， 看 我 猜 的 对 不 对,21,21,riddle,riddle,"('riddle', 'schedule')","('riddle', 'map')","('riddle', 'music')","('riddle', 'match')","('riddle', 'chat')","('riddle', 'lottery')","('riddle', 'chat')","('riddle', 'chat')","('riddle', 'poetry')","('riddle', 'chat')"
世界杯 开球 时间 是 多少 ， 能 帮 我 查 一下 吗,14,14,match,match,"('match', 'datetime')","('match', 'chat')","('match', 'chat')","('match', 'datetime')","('match', 'chat')","('match', 'chat')","('match', 'novel')","('match', 'datetime')","('match', 'chat')","('match', 'chat')"
几 8 痒,3,3,chat,chat,"('chat', 'calc')","('chat', 'health')","('chat', 'calc')","('chat', 'datetime')","('chat', 'calc')","('chat', 'calc')","('chat', 'calc')","('chat', 'calc')","('chat', 'calc')","('chat', 'calc')"
你 的 梦想 是 干嘛,3,3,chat,chat,"('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'datetime')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')"
我 想 看 头号 玩家 ， 可以 帮 我 订 三 张 票 吗,3,4,chat,cinemas,"('chat', 'video')","('chat', 'flight')","('chat', 'lottery')","('chat', 'lottery')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('train', 'chat')","('chat', 'train')","('chat', 'video')"
我 想 看看 有 那些 短信 未 读 ， 给 我 把 短信 打开 吧,15,15,message,message,"('message', 'email')","('message', 'telephone')","('message', 'email')","('message', 'email')","('message', 'email')","('message', 'email')","('message', 'email')","('message', 'email')","('message', 'email')","('message', 'email')"
什么 目前 呀,3,3,chat,chat,"('chat', 'epg')","('chat', 'epg')","('chat', 'epg')","('chat', 'epg')","('chat', 'epg')","('chat', 'epg')","('chat', 'epg')","('chat', 'epg')","('chat', 'epg')","('chat', 'epg')"
怎么 事儿 呢 你 这么 智慧 醒 了 还 能 有 什么 事儿 呢 我 想 什么 时候 两 部 找 你 吧,3,3,chat,chat,"('chat', 'health')","('chat', 'datetime')","('chat', 'health')","('chat', 'health')","('chat', 'datetime')","('chat', 'datetime')","('chat', 'weather')","('chat', 'weather')","('chat', 'match')","('chat', 'lottery')"
放 首 歌 给 我 听听 ， 有 怀旧 的 歌曲 吗,16,16,music,music,"('music', 'poetry')","('music', 'health')","('music', 'poetry')","('music', 'poetry')","('music', 'calc')","('music', 'match')","('music', 'video')","('music', 'video')","('music', 'app')","('music', 'radio')"
