sentence,prediction,ground_true,预测,正确,fold_0_top2,fold_1_top2,fold_2_top2,fold_3_top2,fold_4_top2,fold_5_top2,fold_6_top2,fold_7_top2,fold_8_top2,fold_9_top2
不 想 玩 游戏 ， 把 王者 荣耀 卸 载 掉 吧,0,0,app,app,"('app', 'poetry')","('app', 'video')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'video')","('app', 'chat')","('app', 'website')","('app', 'website')"
事情 真的 很多,3,3,chat,chat,"('chat', 'email')","('chat', 'news')","('chat', 'message')","('chat', 'news')","('chat', 'music')","('chat', 'news')","('chat', 'news')","('chat', 'cookbook')","('chat', 'music')","('chat', 'datetime')"
你 会 说 葡萄牙语 吗 ？ 帮 我 把 今天 好 热 翻译 成 葡萄牙语,26,26,translation,translation,"('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')"
你 喜欢 些 什么 东西,3,3,chat,chat,"('chat', 'weather')","('chat', 'novel')","('chat', 'tvchannel')","('chat', 'schedule')","('chat', 'health')","('chat', 'riddle')","('chat', 'health')","('chat', 'translation')","('chat', 'map')","('chat', 'weather')"
三 个 木 是 什么 字,3,3,chat,chat,"('chat', 'translation')","('chat', 'cookbook')","('chat', 'poetry')","('chat', 'translation')","('chat', 'translation')","('chat', 'poetry')","('chat', 'cookbook')","('chat', 'translation')","('chat', 'poetry')","('chat', 'calc')"
介绍 一下 你 吧,3,3,chat,chat,"('chat', 'translation')","('chat', 'translation')","('chat', 'map')","('chat', 'music')","('chat', 'translation')","('chat', 'tvchannel')","('chat', 'telephone')","('chat', 'music')","('chat', 'cookbook')","('chat', 'translation')"
你 看 一 下 手表 ， 看看 还有 多少 分 就 到 中午 12点 了,7,7,datetime,datetime,"('schedule', 'datetime')","('schedule', 'datetime')","('datetime', 'epg')","('datetime', 'schedule')","('datetime', 'epg')","('datetime', 'schedule')","('datetime', 'contacts')","('datetime', 'schedule')","('datetime', 'chat')","('datetime', 'chat')"
没 人 说 我 傻,3,3,chat,chat,"('chat', 'app')","('chat', 'music')","('chat', 'tvchannel')","('chat', 'schedule')","('chat', 'translation')","('chat', 'weather')","('chat', 'poetry')","('chat', 'music')","('chat', 'app')","('chat', 'weather')"
踢 足球 呢,3,3,chat,chat,"('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'tvchannel')","('chat', 'epg')","('chat', 'translation')","('chat', 'video')","('chat', 'health')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'match')"
我 富 得 流油,3,3,chat,chat,"('chat', 'music')","('chat', 'music')","('chat', 'poetry')","('chat', 'video')","('chat', 'music')","('chat', 'music')","('chat', 'video')","('chat', 'music')","('chat', 'website')","('chat', 'music')"
我 想 知道 端午节 是 什么 时候 ， 帮 我 看 下 日历,7,7,datetime,datetime,"('datetime', 'video')","('datetime', 'schedule')","('datetime', 'calc')","('datetime', 'schedule')","('datetime', 'epg')","('datetime', 'video')","('datetime', 'cookbook')","('datetime', 'train')","('datetime', 'video')","('datetime', 'video')"
太 有才 了,3,3,chat,chat,"('chat', 'music')","('chat', 'video')","('chat', 'weather')","('chat', 'weather')","('chat', 'music')","('chat', 'weather')","('chat', 'telephone')","('chat', 'video')","('chat', 'app')","('chat', 'health')"
是的 朝 起 晚 落 不 休止,3,3,chat,chat,"('chat', 'poetry')","('chat', 'poetry')","('chat', 'poetry')","('chat', 'poetry')","('chat', 'datetime')","('chat', 'poetry')","('chat', 'music')","('chat', 'poetry')","('chat', 'poetry')","('chat', 'epg')"
王后 是 谁,3,3,chat,chat,"('chat', 'weather')","('chat', 'cookbook')","('chat', 'message')","('chat', 'schedule')","('chat', 'translation')","('chat', 'weather')","('chat', 'news')","('chat', 'datetime')","('chat', 'map')","('chat', 'match')"
王者 荣耀 有 什么 装备,3,3,chat,chat,"('chat', 'app')","('chat', 'health')","('chat', 'app')","('epg', 'chat')","('chat', 'epg')","('chat', 'epg')","('chat', 'app')","('chat', 'app')","('chat', 'cookbook')","('chat', 'music')"
请 喵喵 叫 给 我 听,3,3,chat,chat,"('chat', 'music')","('chat', 'music')","('music', 'chat')","('chat', 'music')","('chat', 'music')","('music', 'chat')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')"
刚才 没有 接到 李建 的 电话 ， 我 要 回 拨 个 电话 给 他,24,24,telephone,telephone,"('telephone', 'contacts')","('telephone', 'contacts')","('telephone', 'contacts')","('telephone', 'contacts')","('contacts', 'telephone')","('contacts', 'telephone')","('telephone', 'contacts')","('telephone', 'contacts')","('telephone', 'contacts')","('telephone', 'contacts')"
去 广州 的话 ， 怎么 坐 汽车 过去,1,1,bus,bus,"('bus', 'map')","('bus', 'map')","('bus', 'map')","('bus', 'map')","('bus', 'map')","('bus', 'map')","('bus', 'cookbook')","('bus', 'chat')","('bus', 'map')","('bus', 'weather')"
我 想 去 杭州 旅游,3,3,chat,chat,"('chat', 'map')","('chat', 'map')","('chat', 'map')","('map', 'chat')","('map', 'chat')","('map', 'chat')","('chat', 'map')","('map', 'chat')","('chat', 'map')","('chat', 'map')"
你 老 了 吗,3,3,chat,chat,"('chat', 'weather')","('chat', 'health')","('chat', 'tvchannel')","('chat', 'schedule')","('chat', 'health')","('chat', 'weather')","('chat', 'health')","('chat', 'datetime')","('chat', 'map')","('chat', 'datetime')"
听 过 了,3,3,chat,chat,"('chat', 'music')","('chat', 'music')","('chat', 'video')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')"
不 是 说 你,3,3,chat,chat,"('chat', 'music')","('chat', 'music')","('chat', 'message')","('chat', 'schedule')","('chat', 'health')","('chat', 'weather')","('chat', 'poetry')","('chat', 'datetime')","('chat', 'map')","('chat', 'music')"
我 想 减肥 你 还 让 我 吃,3,3,chat,chat,"('chat', 'translation')","('chat', 'music')","('chat', 'health')","('chat', 'cookbook')","('chat', 'translation')","('chat', 'translation')","('chat', 'health')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'music')"
有 没 有 张三 的 号码 ， 我 找 他 有事,5,5,contacts,contacts,"('contacts', 'chat')","('contacts', 'chat')","('contacts', 'chat')","('contacts', 'chat')","('contacts', 'telephone')","('contacts', 'message')","('contacts', 'chat')","('contacts', 'chat')","('contacts', 'chat')","('contacts', 'chat')"
你 算 一下 立方 根 ， 8 的 立方根,2,2,calc,calc,"('calc', 'chat')","('calc', 'radio')","('calc', 'chat')","('calc', 'health')","('calc', 'stock')","('calc', 'stock')","('calc', 'chat')","('calc', 'train')","('calc', 'chat')","('calc', 'tvchannel')"
王松爱 杨扬 全世界 都 知道,3,3,chat,chat,"('chat', 'music')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('video', 'epg')","('chat', 'music')","('chat', 'video')","('chat', 'video')","('chat', 'music')"
我 要 听 体育 新闻 ， 是 关于 欧洲杯 的,17,17,news,news,"('news', 'video')","('news', 'match')","('news', 'epg')","('news', 'train')","('news', 'match')","('news', 'music')","('news', 'video')","('news', 'match')","('news', 'epg')","('news', 'epg')"
我 要 看 彭 于晏 的 电影 ， 帮 我 买 两 张 湄公河 行动 电影票 吧,28,4,video,cinemas,"('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'epg')","('video', 'cinemas')","('video', 'epg')","('video', 'cinemas')","('video', 'cinemas')","('video', 'epg')","('video', 'cinemas')"
偷笑 偷笑 偷笑 偷笑 偷笑 偷笑 偷笑 偷笑 偷笑 偷笑,3,3,chat,chat,"('video', 'telephone')","('chat', 'video')","('chat', 'video')","('video', 'chat')","('chat', 'video')","('music', 'chat')","('music', 'video')","('telephone', 'chat')","('music', 'chat')","('translation', 'telephone')"
我 的 锅 被 搜 走 了,3,3,chat,chat,"('cookbook', 'chat')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'app')","('chat', 'cookbook')","('chat', 'app')","('chat', 'cookbook')"
可以 帮 我 把 没有 回复 的 邮件 回复 下 吗,8,8,email,email,"('email', 'telephone')","('email', 'chat')","('email', 'chat')","('email', 'message')","('email', 'chat')","('email', 'chat')","('email', 'chat')","('email', 'chat')","('email', 'chat')","('email', 'video')"
万达 影城 这 几 天 上映 了 什么 电影 ， 有 科幻片 的 吗,28,4,video,cinemas,"('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('cinemas', 'video')","('cinemas', 'video')","('video', 'cinemas')","('cinemas', 'video')"
你 知道 苏州 有 什么 好吃 的 吗,3,6,chat,cookbook,"('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')"
我 想 听 财经 类 的 广播 ， 帮 我 调 一下,20,20,radio,radio,"('radio', 'news')","('radio', 'epg')","('radio', 'tvchannel')","('epg', 'radio')","('radio', 'epg')","('radio', 'music')","('radio', 'epg')","('radio', 'video')","('radio', 'epg')","('radio', 'epg')"
我 要 出去 旅游 ， 帮 我 进入 携程 旅行 官网,30,30,website,website,"('website', 'cookbook')","('website', 'app')","('website', 'app')","('website', 'map')","('website', 'app')","('website', 'app')","('website', 'app')","('website', 'app')","('website', 'app')","('website', 'app')"
你 会 把 中文 翻译 成 韩语 吗 ？ 喜欢 你 用 韩语 怎么 说,26,26,translation,translation,"('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'weather')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')"
2点 半夜 鸡 叫 什么 了 不少 钱包,3,3,chat,chat,"('chat', 'schedule')","('chat', 'cookbook')","('chat', 'tvchannel')","('chat', 'schedule')","('chat', 'translation')","('chat', 'translation')","('chat', 'epg')","('chat', 'schedule')","('chat', 'app')","('chat', 'datetime')"
帮 我 打开 无线电台 广播 ， 打开 调频 96.3,20,20,radio,radio,"('radio', 'datetime')","('radio', 'music')","('radio', 'tvchannel')","('radio', 'epg')","('radio', 'tvchannel')","('radio', 'epg')","('radio', 'music')","('radio', 'tvchannel')","('radio', 'tvchannel')","('radio', 'tvchannel')"
帮 我 写 封 邮件 给 小红 ， 约 她 明天 一起 逛街,8,8,email,email,"('email', 'message')","('email', 'cookbook')","('email', 'message')","('message', 'email')","('email', 'message')","('email', 'message')","('email', 'message')","('email', 'message')","('email', 'schedule')","('email', 'message')"
想 坐 汽车 去 上海 ， 你 帮 我 买 两 张 汽车票 吧,3,1,chat,bus,"('train', 'bus')","('chat', 'train')","('chat', 'train')","('train', 'chat')","('bus', 'chat')","('chat', 'train')","('chat', 'train')","('chat', 'train')","('train', 'chat')","('chat', 'train')"
你 出 个 谜语 ， 看 我 猜 的 对 不 对,21,21,riddle,riddle,"('riddle', 'chat')","('riddle', 'chat')","('riddle', 'chat')","('riddle', 'poetry')","('riddle', 'epg')","('riddle', 'translation')","('riddle', 'chat')","('riddle', 'app')","('riddle', 'video')","('riddle', 'chat')"
世界杯 开球 时间 是 多少 ， 能 帮 我 查 一下 吗,14,14,match,match,"('match', 'video')","('match', 'cookbook')","('match', 'datetime')","('match', 'chat')","('match', 'datetime')","('match', 'epg')","('match', 'chat')","('match', 'news')","('chat', 'match')","('match', 'chat')"
几 8 痒,3,3,chat,chat,"('chat', 'calc')","('chat', 'calc')","('chat', 'calc')","('calc', 'website')","('chat', 'calc')","('chat', 'telephone')","('chat', 'telephone')","('chat', 'app')","('chat', 'music')","('chat', 'calc')"
你 的 梦想 是 干嘛,3,3,chat,chat,"('chat', 'weather')","('chat', 'cookbook')","('chat', 'map')","('chat', 'schedule')","('chat', 'music')","('chat', 'weather')","('chat', 'epg')","('chat', 'datetime')","('chat', 'map')","('chat', 'datetime')"
我 想 看 头号 玩家 ， 可以 帮 我 订 三 张 票 吗,3,4,chat,cinemas,"('video', 'epg')","('chat', 'epg')","('chat', 'video')","('chat', 'epg')","('tvchannel', 'epg')","('epg', 'video')","('chat', 'video')","('video', 'chat')","('chat', 'epg')","('chat', 'epg')"
我 想 看看 有 那些 短信 未 读 ， 给 我 把 短信 打开 吧,15,15,message,message,"('message', 'novel')","('message', 'cookbook')","('message', 'email')","('message', 'website')","('message', 'email')","('message', 'website')","('message', 'contacts')","('message', 'tvchannel')","('message', 'train')","('message', 'news')"
什么 目前 呀,3,3,chat,chat,"('chat', 'translation')","('chat', 'epg')","('chat', 'tvchannel')","('chat', 'schedule')","('chat', 'health')","('chat', 'epg')","('chat', 'epg')","('chat', 'datetime')","('chat', 'map')","('chat', 'epg')"
怎么 事儿 呢 你 这么 智慧 醒 了 还 能 有 什么 事儿 呢 我 想 什么 时候 两 部 找 你 吧,3,3,chat,chat,"('chat', 'cookbook')","('chat', 'epg')","('chat', 'epg')","('chat', 'video')","('chat', 'music')","('chat', 'weather')","('chat', 'cookbook')","('chat', 'datetime')","('chat', 'map')","('chat', 'epg')"
