sentence,prediction,ground_true,预测,正确,fold_0_top2,fold_1_top2,fold_2_top2,fold_3_top2,fold_4_top2,fold_5_top2,fold_6_top2,fold_7_top2,fold_8_top2,fold_9_top2
最 早 的 宝莲灯 电视剧 ， 可以 给 我 放 一下 吗,9,28,epg,video,"('epg', 'video')","('video', 'epg')","('epg', 'video')","('epg', 'video')","('video', 'epg')","('video', 'epg')","('epg', 'video')","('video', 'epg')","('epg', 'video')","('epg', 'video')"
开卡 好好贵 的,3,3,chat,chat,"('chat', 'flight')","('chat', 'app')","('chat', 'music')","('chat', 'schedule')","('chat', 'app')","('chat', 'app')","('chat', 'stock')","('chat', 'music')","('chat', 'app')","('chat', 'app')"
只有 一点点 吗,3,3,chat,chat,"('chat', 'map')","('chat', 'translation')","('chat', 'datetime')","('chat', 'weather')","('chat', 'epg')","('chat', 'music')","('chat', 'datetime')","('chat', 'map')","('chat', 'map')","('chat', 'map')"
哈工大 的 刘挺 教授 是 谁,3,3,chat,chat,"('chat', 'map')","('chat', 'poetry')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')"
合肥 今天 有 什么 新闻 ， 放 给 我 听听,17,17,news,news,"('news', 'weather')","('news', 'match')","('news', 'cookbook')","('news', 'chat')","('news', 'epg')","('news', 'message')","('news', 'epg')","('news', 'epg')","('news', 'epg')","('news', 'chat')"
打开 uc2 哦,0,0,app,app,"('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'chat')"
你 会 不断 的 说 好 吗,3,3,chat,chat,"('chat', 'map')","('chat', 'translation')","('chat', 'music')","('chat', 'train')","('chat', 'contacts')","('chat', 'music')","('chat', 'calc')","('chat', 'riddle')","('chat', 'music')","('chat', 'weather')"
打开 邮件 ， 看看 有 未 读 的 吗,8,8,email,email,"('email', 'chat')","('email', 'bus')","('email', 'app')","('email', 'news')","('email', 'chat')","('email', 'message')","('email', 'message')","('email', 'app')","('email', 'chat')","('email', 'chat')"
秦兵 教授 是 男 的,3,3,chat,chat,"('chat', 'map')","('chat', 'contacts')","('chat', 'weather')","('chat', 'music')","('chat', 'map')","('chat', 'music')","('chat', 'datetime')","('chat', 'weather')","('chat', 'message')","('chat', 'map')"
事理 图谱 是 你们 做 的 吗,3,3,chat,chat,"('chat', 'map')","('chat', 'cookbook')","('chat', 'map')","('chat', 'cookbook')","('chat', 'epg')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')"
婚礼 上 婆婆 怎么 讲话 好,3,3,chat,chat,"('chat', 'translation')","('chat', 'cookbook')","('cookbook', 'epg')","('translation', 'chat')","('chat', 'epg')","('chat', 'cookbook')","('health', 'translation')","('chat', 'translation')","('chat', 'translation')","('chat', 'health')"
我 邮箱 里 有 什么 未 读 邮件 ， 我 要 看看,8,8,email,email,"('email', 'message')","('email', 'cookbook')","('email', 'message')","('email', 'calc')","('email', 'chat')","('email', 'message')","('email', 'message')","('email', 'app')","('email', 'chat')","('email', 'chat')"
什么 事儿 啊 你 说,3,3,chat,chat,"('chat', 'map')","('chat', 'translation')","('chat', 'music')","('chat', 'weather')","('chat', 'map')","('chat', 'music')","('chat', 'cookbook')","('chat', 'news')","('chat', 'music')","('chat', 'cookbook')"
我 问 你 问题 不许 你 问 我 撤回 傲慢,3,3,chat,chat,"('chat', 'video')","('chat', 'video')","('chat', 'music')","('chat', 'news')","('chat', 'email')","('chat', 'music')","('chat', 'map')","('chat', 'email')","('chat', 'music')","('chat', 'app')"
联想 的 董事长,23,3,stock,chat,"('stock', 'website')","('stock', 'map')","('stock', 'telephone')","('stock', 'chat')","('stock', 'chat')","('stock', 'app')","('stock', 'contacts')","('stock', 'app')","('stock', 'map')","('stock', 'website')"
随便 来 几 个 谜语 吧 ， 要 简单 容易 猜 的,21,21,riddle,riddle,"('riddle', 'music')","('riddle', 'bus')","('riddle', 'translation')","('riddle', 'health')","('riddle', 'cinemas')","('riddle', 'telephone')","('riddle', 'translation')","('riddle', 'chat')","('riddle', 'translation')","('riddle', 'video')"
帮 我 查 下科 大讯飞 这 支 股票 ， 它 的 换手率 是 多少,23,23,stock,stock,"('stock', 'train')","('stock', 'train')","('stock', 'riddle')","('stock', 'cinemas')","('stock', 'lottery')","('stock', 'radio')","('stock', 'bus')","('stock', 'weather')","('stock', 'news')","('stock', 'weather')"
双方 还 达成,3,3,chat,chat,"('chat', 'schedule')","('chat', 'app')","('chat', 'tvchannel')","('chat', 'schedule')","('chat', 'stock')","('chat', 'app')","('chat', 'translation')","('chat', 'translation')","('chat', 'health')","('chat', 'health')"
根号 3 的 倒数,2,2,calc,calc,"('calc', 'riddle')","('calc', 'message')","('calc', 'app')","('calc', 'contacts')","('calc', 'map')","('calc', 'cookbook')","('calc', 'translation')","('calc', 'health')","('calc', 'lottery')","('calc', 'flight')"
4 乘 6 然后 再 乘 7 再 除 以 2,2,2,calc,calc,"('calc', 'riddle')","('calc', 'message')","('calc', 'app')","('calc', 'telephone')","('calc', 'map')","('calc', 'cookbook')","('calc', 'translation')","('calc', 'health')","('calc', 'lottery')","('calc', 'flight')"
我 要 跟 你 结婚,3,3,chat,chat,"('chat', 'music')","('chat', 'video')","('chat', 'music')","('chat', 'music')","('chat', 'novel')","('chat', 'music')","('chat', 'music')","('chat', 'video')","('chat', 'video')","('chat', 'video')"
我 睡 不 着 了,3,3,chat,chat,"('chat', 'video')","('chat', 'video')","('chat', 'music')","('chat', 'schedule')","('chat', 'video')","('chat', 'music')","('chat', 'video')","('chat', 'app')","('chat', 'map')","('chat', 'schedule')"
他 说 他 是 不 是 逗 我 玩 的,3,3,chat,chat,"('chat', 'map')","('chat', 'video')","('chat', 'music')","('chat', 'schedule')","('chat', 'map')","('chat', 'music')","('chat', 'cookbook')","('chat', 'riddle')","('chat', 'music')","('chat', 'email')"
小 鹿 姐姐 主持 的 动画 梦工厂 ， 最近 放 啥 动画片 呢,28,9,video,epg,"('video', 'epg')","('epg', 'video')","('epg', 'video')","('video', 'epg')","('epg', 'video')","('video', 'epg')","('epg', 'video')","('video', 'epg')","('epg', 'video')","('video', 'epg')"
你 这 定位 也 太 不准 了,3,3,chat,chat,"('chat', 'map')","('chat', 'website')","('chat', 'music')","('chat', 'weather')","('chat', 'map')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'music')","('chat', 'cookbook')"
患 上 癌症 能 怎么办 ， 可以 保守 治疗 吗,11,11,health,health,"('health', 'stock')","('health', 'translation')","('health', 'chat')","('health', 'chat')","('health', 'poetry')","('health', 'chat')","('health', 'cookbook')","('health', 'chat')","('health', 'chat')","('health', 'chat')"
能 不 能 让 用户 参与 开发,3,3,chat,chat,"('chat', 'app')","('chat', 'app')","('chat', 'app')","('chat', 'translation')","('chat', 'app')","('chat', 'app')","('chat', 'app')","('chat', 'app')","('chat', 'website')","('chat', 'app')"
你 知道 五谷磨房 吗,3,3,chat,chat,"('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'epg')","('chat', 'weather')","('chat', 'epg')","('chat', 'poetry')","('chat', 'map')","('chat', 'cookbook')","('chat', 'music')","('chat', 'cookbook')"
我 想 看 恐怖片 ， 给 我 推荐点 超级 吓人 的 那种 恐怖片,28,28,video,video,"('video', 'epg')","('video', 'chat')","('video', 'novel')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')"
你 很 有 正 能量,3,3,chat,chat,"('chat', 'map')","('chat', 'stock')","('chat', 'video')","('chat', 'weather')","('chat', 'email')","('chat', 'music')","('chat', 'weather')","('chat', 'weather')","('chat', 'music')","('chat', 'weather')"
你 不 说 人 话,3,3,chat,chat,"('chat', 'map')","('chat', 'translation')","('chat', 'music')","('chat', 'translation')","('chat', 'epg')","('chat', 'music')","('chat', 'datetime')","('chat', 'telephone')","('chat', 'music')","('chat', 'cookbook')"
那 给 我 介绍 一个 呗,3,3,chat,chat,"('chat', 'map')","('chat', 'telephone')","('chat', 'tvchannel')","('chat', 'music')","('chat', 'map')","('chat', 'app')","('chat', 'map')","('chat', 'telephone')","('chat', 'riddle')","('chat', 'map')"
你 很 厉害 你 咋 知道 我 跟 开封 有 联系,3,3,chat,chat,"('chat', 'map')","('chat', 'map')","('chat', 'music')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')"
北京 的 房价 太 高 怎么办,3,3,chat,chat,"('chat', 'map')","('chat', 'news')","('chat', 'health')","('chat', 'cinemas')","('chat', 'map')","('chat', 'health')","('chat', 'map')","('chat', 'health')","('chat', 'map')","('chat', 'map')"
人 之 初,3,19,chat,poetry,"('chat', 'poetry')","('chat', 'website')","('chat', 'video')","('chat', 'telephone')","('chat', 'website')","('chat', 'music')","('chat', 'app')","('chat', 'tvchannel')","('chat', 'music')","('poetry', 'app')"
以后 叫 你 蠢蠢,3,3,chat,chat,"('chat', 'riddle')","('chat', 'translation')","('chat', 'translation')","('chat', 'schedule')","('chat', 'epg')","('chat', 'cookbook')","('chat', 'news')","('chat', 'cookbook')","('chat', 'translation')","('chat', 'cookbook')"
性 行为 对 人 的 身体 有 什么 好处 呢,3,11,chat,health,"('chat', 'health')","('chat', 'poetry')","('chat', 'health')","('chat', 'health')","('chat', 'cookbook')","('chat', 'health')","('chat', 'health')","('chat', 'health')","('chat', 'health')","('chat', 'health')"
你 懂 的 好多 丫,3,3,chat,chat,"('chat', 'cookbook')","('chat', 'novel')","('chat', 'music')","('chat', 'music')","('chat', 'stock')","('chat', 'music')","('chat', 'epg')","('chat', 'cookbook')","('chat', 'music')","('chat', 'cookbook')"
搜索 一下 ， 上 一 周 安徽 卫视 播放 的 电视剧 有 哪些,9,9,epg,epg,"('epg', 'tvchannel')","('epg', 'tvchannel')","('epg', 'tvchannel')","('epg', 'tvchannel')","('epg', 'tvchannel')","('epg', 'cinemas')","('epg', 'tvchannel')","('epg', 'tvchannel')","('epg', 'tvchannel')","('epg', 'cinemas')"
你 会 韩语 吗 ？ 可以 用 韩语 帮 我 翻译 我 爱 你 这 句 话 吗,26,26,translation,translation,"('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'calc')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')"
太 冷 了,3,3,chat,chat,"('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')"
我 今天 不 高兴,3,3,chat,chat,"('chat', 'map')","('chat', 'app')","('chat', 'music')","('chat', 'weather')","('chat', 'website')","('chat', 'music')","('chat', 'map')","('chat', 'news')","('chat', 'website')","('chat', 'weather')"
看 下 日历 ， 劳动节 还有 几 个 星期 就 到 了,7,7,datetime,datetime,"('datetime', 'schedule')","('datetime', 'riddle')","('datetime', 'chat')","('datetime', 'weather')","('datetime', 'schedule')","('datetime', 'schedule')","('datetime', 'chat')","('datetime', 'schedule')","('datetime', 'lottery')","('datetime', 'chat')"
到 上海 坐 汽车 怎么 走 啊,13,1,map,bus,"('map', 'bus')","('map', 'bus')","('bus', 'map')","('bus', 'video')","('map', 'bus')","('bus', 'map')","('bus', 'map')","('bus', 'map')","('map', 'bus')","('map', 'chat')"
不 想 玩 游戏 ， 把 王者 荣耀 卸 载 掉 吧,0,0,app,app,"('app', 'website')","('app', 'chat')","('app', 'chat')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'chat')","('app', 'chat')"
事情 真的 很多,3,3,chat,chat,"('chat', 'news')","('chat', 'app')","('chat', 'music')","('chat', 'news')","('chat', 'novel')","('chat', 'music')","('chat', 'news')","('chat', 'news')","('chat', 'music')","('chat', 'news')"
你 会 说 葡萄牙语 吗 ？ 帮 我 把 今天 好 热 翻译 成 葡萄牙语,26,26,translation,translation,"('translation', 'riddle')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'calc')","('translation', 'chat')","('translation', 'riddle')","('translation', 'chat')"
你 喜欢 些 什么 东西,3,3,chat,chat,"('chat', 'map')","('chat', 'app')","('chat', 'translation')","('chat', 'weather')","('chat', 'novel')","('chat', 'cookbook')","('chat', 'datetime')","('chat', 'health')","('chat', 'music')","('chat', 'health')"
三 个 木 是 什么 字,3,3,chat,chat,"('chat', 'poetry')","('chat', 'poetry')","('chat', 'poetry')","('chat', 'poetry')","('chat', 'poetry')","('chat', 'poetry')","('chat', 'calc')","('chat', 'translation')","('chat', 'poetry')","('chat', 'map')"
介绍 一下 你 吧,3,3,chat,chat,"('chat', 'map')","('chat', 'video')","('chat', 'music')","('chat', 'music')","('chat', 'weather')","('chat', 'app')","('chat', 'video')","('chat', 'telephone')","('chat', 'video')","('chat', 'health')"
你 看 一 下 手表 ， 看看 还有 多少 分 就 到 中午 12点 了,7,7,datetime,datetime,"('datetime', 'schedule')","('datetime', 'chat')","('datetime', 'schedule')","('datetime', 'epg')","('datetime', 'schedule')","('datetime', 'schedule')","('datetime', 'schedule')","('datetime', 'schedule')","('datetime', 'schedule')","('datetime', 'epg')"
没 人 说 我 傻,3,3,chat,chat,"('chat', 'map')","('chat', 'translation')","('chat', 'music')","('chat', 'weather')","('chat', 'weather')","('chat', 'music')","('chat', 'datetime')","('chat', 'telephone')","('chat', 'message')","('chat', 'app')"
踢 足球 呢,3,3,chat,chat,"('chat', 'cookbook')","('chat', 'translation')","('chat', 'translation')","('chat', 'message')","('chat', 'epg')","('chat', 'music')","('chat', 'translation')","('chat', 'riddle')","('chat', 'music')","('chat', 'cookbook')"
我 富 得 流油,3,3,chat,chat,"('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'stock')","('chat', 'email')","('chat', 'poetry')","('chat', 'map')","('chat', 'cookbook')","('chat', 'music')","('chat', 'music')"
我 想 知道 端午节 是 什么 时候 ， 帮 我 看 下 日历,7,7,datetime,datetime,"('datetime', 'schedule')","('datetime', 'train')","('datetime', 'schedule')","('datetime', 'map')","('datetime', 'schedule')","('datetime', 'schedule')","('datetime', 'epg')","('datetime', 'epg')","('datetime', 'weather')","('datetime', 'website')"
太 有才 了,3,3,chat,chat,"('chat', 'map')","('chat', 'app')","('chat', 'music')","('chat', 'message')","('chat', 'video')","('chat', 'music')","('chat', 'message')","('chat', 'music')","('chat', 'music')","('chat', 'weather')"
是的 朝 起 晚 落 不 休止,3,3,chat,chat,"('poetry', 'chat')","('chat', 'poetry')","('chat', 'poetry')","('chat', 'poetry')","('poetry', 'chat')","('poetry', 'chat')","('chat', 'music')","('chat', 'poetry')","('music', 'poetry')","('poetry', 'chat')"
王后 是 谁,3,3,chat,chat,"('chat', 'poetry')","('chat', 'poetry')","('chat', 'tvchannel')","('chat', 'map')","('chat', 'email')","('chat', 'music')","('chat', 'map')","('chat', 'health')","('chat', 'map')","('chat', 'health')"
王者 荣耀 有 什么 装备,3,3,chat,chat,"('chat', 'map')","('chat', 'epg')","('chat', 'app')","('chat', 'epg')","('chat', 'poetry')","('chat', 'epg')","('chat', 'calc')","('chat', 'app')","('chat', 'app')","('chat', 'epg')"
请 喵喵 叫 给 我 听,3,3,chat,chat,"('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('music', 'app')","('music', 'chat')","('music', 'chat')","('chat', 'music')","('chat', 'music')"
刚才 没有 接到 李建 的 电话 ， 我 要 回 拨 个 电话 给 他,5,24,contacts,telephone,"('contacts', 'telephone')","('contacts', 'telephone')","('telephone', 'contacts')","('telephone', 'contacts')","('contacts', 'telephone')","('telephone', 'contacts')","('telephone', 'contacts')","('contacts', 'telephone')","('telephone', 'contacts')","('contacts', 'telephone')"
去 广州 的话 ， 怎么 坐 汽车 过去,1,1,bus,bus,"('bus', 'map')","('bus', 'map')","('bus', 'map')","('bus', 'video')","('bus', 'map')","('bus', 'map')","('bus', 'map')","('bus', 'map')","('bus', 'map')","('bus', 'map')"
我 想 去 杭州 旅游,3,3,chat,chat,"('map', 'chat')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'music')","('map', 'chat')","('map', 'chat')","('chat', 'map')","('chat', 'map')"
你 老 了 吗,3,3,chat,chat,"('chat', 'map')","('chat', 'translation')","('chat', 'music')","('chat', 'weather')","('chat', 'epg')","('chat', 'music')","('chat', 'datetime')","('chat', 'health')","('chat', 'music')","('chat', 'health')"
听 过 了,3,3,chat,chat,"('chat', 'video')","('chat', 'app')","('chat', 'music')","('chat', 'music')","('chat', 'epg')","('chat', 'music')","('chat', 'datetime')","('chat', 'music')","('chat', 'music')","('chat', 'music')"
不 是 说 你,3,3,chat,chat,"('chat', 'map')","('chat', 'app')","('chat', 'music')","('chat', 'weather')","('chat', 'epg')","('chat', 'music')","('chat', 'news')","('chat', 'music')","('chat', 'map')","('chat', 'health')"
我 想 减肥 你 还 让 我 吃,3,3,chat,chat,"('chat', 'map')","('chat', 'translation')","('chat', 'music')","('chat', 'music')","('chat', 'epg')","('chat', 'cookbook')","('chat', 'datetime')","('chat', 'health')","('chat', 'music')","('chat', 'cookbook')"
有 没 有 张三 的 号码 ， 我 找 他 有事,5,5,contacts,contacts,"('contacts', 'telephone')","('contacts', 'chat')","('contacts', 'chat')","('contacts', 'chat')","('contacts', 'chat')","('contacts', 'telephone')","('contacts', 'chat')","('contacts', 'chat')","('contacts', 'chat')","('contacts', 'lottery')"
你 算 一下 立方 根 ， 8 的 立方根,2,2,calc,calc,"('calc', 'riddle')","('calc', 'lottery')","('calc', 'app')","('calc', 'contacts')","('calc', 'map')","('calc', 'cookbook')","('calc', 'translation')","('calc', 'health')","('calc', 'lottery')","('calc', 'tvchannel')"
王松爱 杨扬 全世界 都 知道,3,3,chat,chat,"('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('video', 'music')","('chat', 'video')","('chat', 'video')","('chat', 'contacts')"
我 要 听 体育 新闻 ， 是 关于 欧洲杯 的,17,17,news,news,"('news', 'video')","('news', 'match')","('news', 'match')","('news', 'novel')","('news', 'match')","('news', 'match')","('news', 'chat')","('news', 'epg')","('news', 'video')","('news', 'calc')"
我 要 看 彭 于晏 的 电影 ， 帮 我 买 两 张 湄公河 行动 电影票 吧,28,4,video,cinemas,"('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')"
偷笑 偷笑 偷笑 偷笑 偷笑 偷笑 偷笑 偷笑 偷笑 偷笑,3,3,chat,chat,"('video', 'telephone')","('chat', 'telephone')","('chat', 'telephone')","('chat', 'epg')","('chat', 'telephone')","('chat', 'telephone')","('chat', 'video')","('video', 'tvchannel')","('video', 'chat')","('telephone', 'message')"
我 的 锅 被 搜 走 了,3,3,chat,chat,"('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'app')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'app')","('chat', 'cookbook')","('chat', 'music')","('chat', 'app')"
可以 帮 我 把 没有 回复 的 邮件 回复 下 吗,8,8,email,email,"('email', 'message')","('email', 'cookbook')","('email', 'app')","('email', 'chat')","('email', 'chat')","('email', 'message')","('email', 'schedule')","('email', 'app')","('email', 'chat')","('email', 'chat')"
万达 影城 这 几 天 上映 了 什么 电影 ， 有 科幻片 的 吗,28,4,video,cinemas,"('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('cinemas', 'video')","('cinemas', 'video')","('cinemas', 'video')","('video', 'cinemas')","('video', 'cinemas')","('cinemas', 'video')"
你 知道 苏州 有 什么 好吃 的 吗,3,6,chat,cookbook,"('chat', 'map')","('chat', 'cookbook')","('chat', 'music')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')"
我 想 听 财经 类 的 广播 ， 帮 我 调 一下,9,20,epg,radio,"('epg', 'radio')","('epg', 'radio')","('epg', 'radio')","('epg', 'video')","('radio', 'epg')","('radio', 'tvchannel')","('radio', 'epg')","('radio', 'epg')","('epg', 'radio')","('radio', 'epg')"
我 要 出去 旅游 ， 帮 我 进入 携程 旅行 官网,30,30,website,website,"('website', 'app')","('website', 'tvchannel')","('website', 'app')","('website', 'app')","('website', 'app')","('website', 'app')","('website', 'map')","('website', 'app')","('website', 'app')","('website', 'tvchannel')"
你 会 把 中文 翻译 成 韩语 吗 ？ 喜欢 你 用 韩语 怎么 说,26,26,translation,translation,"('translation', 'riddle')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'calc')","('translation', 'chat')","('translation', 'riddle')","('translation', 'chat')"
2点 半夜 鸡 叫 什么 了 不少 钱包,3,3,chat,chat,"('chat', 'schedule')","('chat', 'translation')","('chat', 'epg')","('chat', 'schedule')","('chat', 'epg')","('chat', 'epg')","('chat', 'datetime')","('chat', 'weather')","('chat', 'schedule')","('chat', 'cookbook')"
帮 我 打开 无线电台 广播 ， 打开 调频 96.3,20,20,radio,radio,"('radio', 'app')","('radio', 'epg')","('radio', 'epg')","('radio', 'telephone')","('radio', 'contacts')","('radio', 'telephone')","('radio', 'tvchannel')","('radio', 'app')","('radio', 'map')","('radio', 'telephone')"
帮 我 写 封 邮件 给 小红 ， 约 她 明天 一起 逛街,8,8,email,email,"('email', 'message')","('email', 'message')","('email', 'message')","('email', 'message')","('email', 'message')","('email', 'message')","('email', 'message')","('email', 'message')","('email', 'message')","('email', 'message')"
想 坐 汽车 去 上海 ， 你 帮 我 买 两 张 汽车票 吧,25,1,train,bus,"('train', 'chat')","('chat', 'train')","('train', 'chat')","('train', 'chat')","('train', 'bus')","('chat', 'train')","('train', 'chat')","('bus', 'train')","('chat', 'train')","('chat', 'train')"
你 出 个 谜语 ， 看 我 猜 的 对 不 对,21,21,riddle,riddle,"('riddle', 'chat')","('riddle', 'poetry')","('riddle', 'stock')","('riddle', 'health')","('riddle', 'map')","('riddle', 'telephone')","('riddle', 'telephone')","('riddle', 'chat')","('riddle', 'translation')","('riddle', 'video')"
世界杯 开球 时间 是 多少 ， 能 帮 我 查 一下 吗,14,14,match,match,"('match', 'cinemas')","('match', 'datetime')","('match', 'chat')","('match', 'epg')","('match', 'schedule')","('match', 'datetime')","('match', 'datetime')","('match', 'news')","('match', 'video')","('match', 'chat')"
几 8 痒,3,3,chat,chat,"('chat', 'calc')","('chat', 'calc')","('chat', 'telephone')","('telephone', 'calc')","('chat', 'calc')","('chat', 'calc')","('chat', 'calc')","('chat', 'telephone')","('chat', 'calc')","('chat', 'calc')"
你 的 梦想 是 干嘛,3,3,chat,chat,"('chat', 'map')","('chat', 'translation')","('chat', 'music')","('chat', 'weather')","('chat', 'email')","('chat', 'riddle')","('chat', 'datetime')","('chat', 'riddle')","('chat', 'music')","('chat', 'riddle')"
我 想 看 头号 玩家 ， 可以 帮 我 订 三 张 票 吗,3,4,chat,cinemas,"('chat', 'cinemas')","('chat', 'video')","('chat', 'epg')","('video', 'epg')","('chat', 'epg')","('epg', 'tvchannel')","('chat', 'epg')","('video', 'lottery')","('chat', 'video')","('chat', 'epg')"
我 想 看看 有 那些 短信 未 读 ， 给 我 把 短信 打开 吧,15,15,message,message,"('message', 'email')","('message', 'contacts')","('message', 'email')","('message', 'chat')","('message', 'email')","('message', 'contacts')","('message', 'email')","('message', 'telephone')","('message', 'email')","('message', 'website')"
什么 目前 呀,3,3,chat,chat,"('chat', 'map')","('chat', 'datetime')","('chat', 'epg')","('chat', 'weather')","('chat', 'epg')","('chat', 'music')","('chat', 'datetime')","('chat', 'map')","('chat', 'map')","('chat', 'health')"
怎么 事儿 呢 你 这么 智慧 醒 了 还 能 有 什么 事儿 呢 我 想 什么 时候 两 部 找 你 吧,3,3,chat,chat,"('chat', 'map')","('chat', 'translation')","('chat', 'tvchannel')","('chat', 'radio')","('chat', 'epg')","('chat', 'epg')","('chat', 'datetime')","('chat', 'health')","('chat', 'music')","('chat', 'health')"
放 首 歌 给 我 听听 ， 有 怀旧 的 歌曲 吗,16,16,music,music,"('music', 'poetry')","('music', 'chat')","('music', 'poetry')","('music', 'chat')","('music', 'poetry')","('music', 'poetry')","('music', 'poetry')","('music', 'chat')","('music', 'chat')","('music', 'poetry')"
